VIN,Country,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,2020 Census Tract
VIN00000000,China,Toronto,63128,2013,BMW,Camry,BEV,Not Eligible,317,122887,50,411248,PORT OF SEATTLE,223213
VIN00000001,USA,London,18429,2011,CHEVROLET,Bolt,BEV,Eligible,272,111687,34,531108,PORT OF SEATTLE,633927
VIN00000002,Australia,Berlin,52951,2009,TOYOTA,Mustang,PHEV,Not Eligible,366,61443,23,348884,PORT OF TACOMA,139771
VIN00000003,USA,Paris,76919,2008,FORD,Camry,BEV,Not Eligible,278,60805,12,261944,CUSTOMS WAREHOUSE,706415
VIN00000004,China,Sydney,90433,2004,TESLA,Bolt,BEV,Eligible,200,120246,23,906185,PORT OF TACOMA,506423
VIN00000005,USA,Toronto,31553,2002,BMW,Model S,BEV,Not Eligible,142,49994,21,325839,CUSTOMS WAREHOUSE,580481
VIN00000006,UK,Toronto,28470,2011,TESLA,Model S,PHEV,Eligible,270,132692,18,846669,PORT OF TACOMA,293877
VIN00000007,Brazil,Mumbai,66630,2011,FORD,Model X,BEV,Eligible,247,99312,36,137544,CUSTOMS WAREHOUSE,398543
VIN00000008,Canada,Sydney,88547,2003,FORD,Bolt,BEV,Not Eligible,133,43440,10,213868,CUSTOMS WAREHOUSE,496320
VIN00000009,UK,Toronto,91509,2015,CHEVROLET,Model X,BEV,Not Eligible,122,78766,41,356712,CUSTOMS WAREHOUSE,248391
VIN00000010,Australia,Paris,86144,2022,TESLA,Bolt,PHEV,Eligible,336,78201,6,344839,PORT OF SEATTLE,661618
VIN00000011,France,Paris,23675,2017,TOYOTA,Model S,PHEV,Eligible,118,88883,9,592733,CUSTOMS WAREHOUSE,428136
VIN00000012,China,New York,88732,2001,NISSAN,Model X,PHEV,Not Eligible,185,72908,2,206638,CUSTOMS WAREHOUSE,907901
VIN00000013,Australia,London,34357,2006,TOYOTA,Mustang,PHEV,Eligible,268,107686,45,834183,CUSTOMS WAREHOUSE,199954
VIN00000014,Brazil,New York,35860,2018,TOYOTA,Mustang,PHEV,Eligible,291,61980,42,402527,PORT OF TACOMA,360768
VIN00000015,India,Moscow,50126,2019,BMW,Camry,BEV,Eligible,54,42892,38,406440,PORT OF SEATTLE,970881
VIN00000016,Germany,Moscow,76192,2011,TESLA,Mustang,BEV,Not Eligible,116,80879,3,321576,CUSTOMS WAREHOUSE,454169
VIN00000017,Mexico,Toronto,50510,2022,FORD,Leaf,BEV,Eligible,383,77451,21,745528,PORT OF SEATTLE,687315
VIN00000018,India,Berlin,80734,2022,NISSAN,Model S,BEV,Eligible,358,95948,18,759381,CUSTOMS WAREHOUSE,530373
VIN00000019,Russia,São Paulo,58172,2008,BMW,Camry,BEV,Eligible,101,147042,8,357169,CUSTOMS WAREHOUSE,692515
VIN00000020,France,Moscow,74103,2022,TESLA,Mustang,PHEV,Eligible,309,79111,32,193942,PORT OF TACOMA,609034
VIN00000021,Germany,Paris,64672,2017,TESLA,Mustang,PHEV,Not Eligible,88,78177,40,381214,PORT OF TACOMA,322733
VIN00000022,India,Sydney,49184,2022,NISSAN,Leaf,PHEV,Not Eligible,301,53181,45,318226,PORT OF TACOMA,613912
VIN00000023,UK,Berlin,23287,2019,FORD,Bolt,PHEV,Eligible,172,110807,49,159960,PORT OF TACOMA,238677
VIN00000024,Brazil,Toronto,55438,2023,NISSAN,Model X,PHEV,Eligible,76,82159,23,777735,PORT OF TACOMA,964641
VIN00000025,Russia,London,84640,2007,FORD,Bolt,BEV,Not Eligible,233,62702,30,832539,CUSTOMS WAREHOUSE,908932
VIN00000026,France,Berlin,40020,2020,NISSAN,Bolt,PHEV,Not Eligible,279,38963,27,133036,PORT OF SEATTLE,107827
VIN00000027,France,Toronto,30355,2014,TESLA,Camry,PHEV,Not Eligible,322,94775,41,343638,CUSTOMS WAREHOUSE,274251
VIN00000028,China,Moscow,26626,2023,NISSAN,Camry,BEV,Not Eligible,201,37640,29,164987,PORT OF SEATTLE,169124
VIN00000029,Japan,São Paulo,60082,2018,NISSAN,Mustang,PHEV,Eligible,313,120793,16,656332,CUSTOMS WAREHOUSE,849970
VIN00000030,France,London,49024,2010,CHEVROLET,Leaf,BEV,Eligible,215,121516,37,175588,CUSTOMS WAREHOUSE,290985
VIN00000031,Canada,Mumbai,59241,2022,NISSAN,Model X,PHEV,Eligible,372,48770,45,305583,PORT OF TACOMA,365315
VIN00000032,Russia,New York,91509,2018,TOYOTA,Leaf,PHEV,Eligible,158,137784,6,936895,PORT OF SEATTLE,348523
VIN00000033,India,New York,28884,2007,NISSAN,Bolt,BEV,Not Eligible,246,143769,26,534827,CUSTOMS WAREHOUSE,472971
VIN00000034,Japan,Mumbai,34282,2022,TOYOTA,Mustang,BEV,Eligible,327,65473,47,731375,PORT OF SEATTLE,104545
VIN00000035,Germany,Sydney,24087,2020,CHEVROLET,Mustang,PHEV,Not Eligible,164,107271,2,281122,CUSTOMS WAREHOUSE,711669
VIN00000036,Mexico,Mumbai,70311,2007,BMW,Mustang,BEV,Eligible,75,112293,8,837943,CUSTOMS WAREHOUSE,855293
VIN00000037,France,São Paulo,50334,2022,FORD,Leaf,PHEV,Not Eligible,231,35801,41,916596,PORT OF TACOMA,330580
VIN00000038,Australia,Moscow,15259,2021,TESLA,Model S,BEV,Eligible,161,92918,35,419053,CUSTOMS WAREHOUSE,978753
VIN00000039,China,New York,24997,2013,FORD,Model X,BEV,Eligible,399,45331,49,944481,CUSTOMS WAREHOUSE,402714
VIN00000040,Germany,Tokyo,84751,2012,CHEVROLET,Model X,PHEV,Not Eligible,295,45786,42,299830,CUSTOMS WAREHOUSE,871856
VIN00000041,USA,Toronto,99262,2013,TESLA,Leaf,BEV,Not Eligible,378,133124,1,205082,PORT OF TACOMA,639062
VIN00000042,India,New York,73794,2009,TOYOTA,Model X,PHEV,Eligible,177,97106,7,521166,PORT OF TACOMA,629971
VIN00000043,Russia,Toronto,22816,2001,FORD,Bolt,BEV,Eligible,113,79613,18,187015,CUSTOMS WAREHOUSE,999603
VIN00000044,UK,Sydney,42506,2022,FORD,Bolt,PHEV,Eligible,206,139452,1,666377,PORT OF SEATTLE,167137
VIN00000045,Australia,Mumbai,40425,2000,FORD,Camry,BEV,Not Eligible,252,121003,35,457767,PORT OF SEATTLE,891166
VIN00000046,Japan,Moscow,30975,2021,TESLA,Bolt,BEV,Eligible,141,86203,46,997102,CUSTOMS WAREHOUSE,171875
VIN00000047,Canada,New York,37823,2011,TESLA,Mustang,PHEV,Not Eligible,298,35254,27,590297,PORT OF SEATTLE,177030
VIN00000048,Canada,Tokyo,63905,2017,TOYOTA,Model X,PHEV,Not Eligible,168,76760,7,990465,PORT OF SEATTLE,165406
VIN00000049,Japan,Moscow,72588,2005,BMW,Bolt,PHEV,Eligible,152,134373,15,162689,PORT OF SEATTLE,643341
VIN00000050,USA,São Paulo,46857,2017,TESLA,Model X,PHEV,Eligible,262,128543,8,250275,PORT OF SEATTLE,517918
VIN00000051,India,Tokyo,24353,2014,TOYOTA,Model S,BEV,Eligible,309,81160,42,403517,PORT OF SEATTLE,227860
VIN00000052,Russia,New York,67806,2005,FORD,Model X,PHEV,Eligible,81,74366,39,886413,PORT OF SEATTLE,922578
VIN00000053,Germany,Moscow,42787,2008,TOYOTA,Leaf,PHEV,Eligible,377,83464,47,264302,CUSTOMS WAREHOUSE,196914
VIN00000054,China,Paris,72576,2007,CHEVROLET,Model S,BEV,Eligible,87,59379,5,822898,PORT OF TACOMA,400669
VIN00000055,UK,Tokyo,54414,2009,CHEVROLET,Model X,PHEV,Not Eligible,283,89943,43,544645,PORT OF SEATTLE,310094
VIN00000056,Brazil,Mumbai,40106,2016,FORD,Mustang,BEV,Not Eligible,183,116592,46,967210,CUSTOMS WAREHOUSE,822383
VIN00000057,China,Toronto,80894,2020,TOYOTA,Bolt,BEV,Not Eligible,129,115289,28,481698,PORT OF TACOMA,432752
